State,Food Insecurity Rate (2022-2024)
Alabama,12.1
Alaska,13
Arizona,13.1
Arkansas,19.4
Californa,12.5
Colorado,10.5
Connecticut,12.1
Delaware,10.8
District of Columbia,10.3
Florida,13.3
Georgia,14.6
Hawaii,10.8
Idaho,12.6
Illinois,13.3
Indiana,13.7
Iowa,10.8
Kansas,12.5
Kentucky,18.8
Louisiana,17.7
Maine,12.9
Maryland,11.5
Massachusetts,11.7
Michigan,14.7
Minnesota,9.9
Mississippi,17.3
Missouri,13.3
Montana,11.7
Nebraska,12.7
Nevada,15
New Hampshire,9.1
New Jersey,9.8
New Mexico,14.5
New York,14
North Carolina,11.8
North Dakota,9
Ohio,14.2
Oklahoma,16.9
Oregon,12.5
Pennsylvania,10.9
Rhode Island,10.6
South Carolina,13.5
South Dakota,9.5
Tennessee,13.3
Texas,17.6
Utah,11.5
Vermont,9.4
Virginia,12.4
Washington,11
West Virginia,14.1
Wisconsin,12
Wyoming,15.6
