State,Poverty Rate (2022-2024)
Alabama,14.7
Alaska,9.7
Arizona,11.5
Arkansas,14.5
California,11.1
Colorado,8.1
Connecticut,9.2
Delaware,8.5
District of Columbia,12.4
Florida,12.1
Georgia,12.4
Hawaii,8.6
Idaho,8.5
Illinois,10.3
Indiana,9.1
Iowa,8.4
Kansas,8.9
Kentucky,15.4
Louisiana,19.5
Maine,8.1
Maryland,8.2
Massachusetts,9.2
Michigan,11.9
Minnesota,7.3
Mississippi,17.4
Missouri,10.2
Montana,8.7
Nebraska,8
Nevada,12.6
New Hampshire,6.8
New Jersey,9.1
New Mexico,17.2
New York,11.6
North Carolina,14
North Dakota,9.3
Ohio,10.5
Oklahoma,13.8
Oregon,9.7
Pennsylvania,10.2
Rhode Island,9.3
South Carolina,11.9
South Dakota,8.6
Tennessee,10.1
Texas,12.3
Utah,6.6
Vermont,7.6
Virginia,8.6
Washington,9.2
West Virginia,14
Wisconsin,8.3
Wyoming,8.1
