State,SNAP Participants
Alabama,"752,271"
Alaska,63590
Arizona,906998
Arkansas,234948
California,5485613
Colorado,612375
Connecticut,386771
Delaware,121912
District of Columbia,141742
Florida,3447752
Georgia,1505645
Hawaii,158425
Idaho,133304
Illinois,1938206
Indiana,609255
Iowa,262559
Kansas,188811
Kentucky,586513
Louisiana,858285
Maine,172548
Maryland,688786
Massachusetts,1107342
Michigan,1462020
Minnesota,455500
Mississippi,377826
Missouri,670282
Montana,79720
Nebraska,152809
Nevada,508396
New Hampshire,76135
New Jersey,844222
New Mexico,478646
New York,2968440
North Carolina,1498341
North Dakota,52264
Ohio,1416662
Oklahoma,702750
Oregon,769943
Pennsylvania,2000036
Rhode Island,144210
South Carolina,701330
South Dakota,75220
Tennessee,689477
Texas,3499384
Utah,176692
Vermont,65345
Virginia,832717
Washington,900844
West Virginia,273522
Wisconsin,698943
Wyoming,28251
