State,Snap Benefits
Alabama ,151461311
Alaska,19699300
Arizona,167438903
Arkansas,42311859
California,1053988922
Colorado,115103374
Connecticut,74702664
Delaware,22457684
District of Columbia,27479964
Florida,658453490
Georgia,351875566
Hawaii,58033880
Idaho,24134729
Illinois,376186890
Indiana,121254528
Iowa,45094982
Kansas,34067918
Kentucky,105919607
Louisiana,164148775
Maine,30409479
Maryland,124815566
Massachusetts,243322599
Michigan,258361210
Minnesota,73885162
Mississippi,69163850
Missouri,133345545
Montana,13768936
Nebraska,28458627
Nevada,87070511
New Hampshire,13015295
New Jersey,166588455
New Mexico,86106069
New York,653500076
North Carolina,282052357
North Dakota,9929297
Ohio,273360233
Oklahoma,137012226
Oregon,138676833
Pennsylvania,357666368
Rhode Island,28779542
South Carolina,164372068
South Dakota,15035061
Tennessee,145312890
Texas,643724503
Utah,34645316
Vermont,12700076
Virginia,155219784
Washington,167958047
West Virginia,46680273
Wisconsin,113974858
Wyoming,5196982
