State,Food Insecurity Rate,Poverty Rate,Snap Participants,Snap Benefits
Alabama,12.1,14.7,"752,271",151461311
Alaska,13,9.7,63590,19699300
Arizona,13.1,11.5,906998,167438903
Arkansas,19.4,14.5,234948,42311859
Californa,12.5,11.1,5485613,1053988922
Colorado,10.5,8.1,612375,115103374
Connecticut,12.1,9.2,386771,74702664
Delaware,10.8,8.5,121912,22457684
District of Columbia,10.3,12.4,141742,27479964
Florida,13.3,12.1,3447752,658453490
Georgia,14.6,12.4,1505645,351875566
Hawaii,10.8,8.6,158425,58033880
Idaho,12.6,8.5,133304,24134729
Illinois,13.3,10.3,1938206,376186890
Indiana,13.7,9.1,609255,121254528
Iowa,10.8,8.4,262559,45094982
Kansas,12.5,8.9,188811,34067918
Kentucky,18.8,15.4,586513,105919607
Louisiana,17.7,19.5,858285,164148775
Maine,12.9,8.1,172548,30409479
Maryland,11.5,8.2,688786,124815566
Massachusetts,11.7,9.2,1107342,243322599
Michigan,14.7,11.9,1462020,258361210
Minnesota,9.9,7.3,455500,73885162
Mississippi,17.3,17.4,377826,69163850
Missouri,13.3,10.2,670282,133345545
Montana,11.7,8.7,79720,13768936
Nebraska,12.7,8,152809,28458627
Nevada,15,12.6,508396,87070511
New Hampshire,9.1,6.8,76135,13015295
New Jersey,9.8,9.1,844222,166588455
New Mexico,14.5,17.2,478646,86106069
New York,14,11.6,2968440,653500076
North Carolina,11.8,14,1498341,282052357
North Dakota,9,9.3,52264,9929297
Ohio,14.2,10.5,1416662,273360233
Oklahoma,16.9,13.8,702750,137012226
Oregon,12.5,9.7,769943,138676833
Pennsylvania,10.9,10.2,2000036,357666368
Rhode Island,10.6,9.3,144210,28779542
South Carolina,13.5,11.9,701330,164372068
South Dakota,9.5,8.6,75220,15035061
Tennessee,13.3,10.1,689477,145312890
Texas,17.6,12.3,3499384,643724503
Utah,11.5,6.6,176692,34645316
Vermont,9.4,7.6,65345,12700076
Virginia,12.4,8.6,832717,155219784
Washington,11,9.2,900844,167958047
West Virginia,14.1,14,273522,46680273
Wisconsin,12,8.3,698943,113974858
Wyoming,15.6,8.1,28251,5196982
